file,word_count,reason,title
sec528_development_of_guidelines_for_use_of_unofficial_sources_of_information_to_determ.txt,169,too_short_for_detection,DEVELOPMENT OF GUIDELINES FOR USE OF UNOFFICIAL SOURCES OF INFORMATION TO DETERMINE ELIGIBILITY OF MEMBERS AND FORMER MEMBERS OF THE ARMED FORCES FOR DECORATIONS WHEN THE SERVICE RECORDS ARE INCOMPLETE BECAUSE OF DAMAGE TO THE OFFICIAL RECORD.
sec529_strategic_plan_for_diversity_and_inclusion.txt,101,too_short_for_detection,STRATEGIC PLAN FOR DIVERSITY AND INCLUSION.
sec530_study_regarding_screening_individuals_who_seek_to_enlist_in_the_armed_forces.txt,127,too_short_for_detection,STUDY REGARDING SCREENING INDIVIDUALS WHO SEEK TO ENLIST IN THE ARMED FORCES.
sec530A_feasibility_study_regarding_notification_to_secretary_of_homeland_security_of_ho.txt,159,too_short_for_detection,FEASIBILITY STUDY REGARDING NOTIFICATION TO SECRETARY OF HOMELAND SECURITY OF HONORABLE DISCHARGES OF NON-CITIZENS.
sec530B_sense_of_congress_regarding_accession_physicals.txt,65,too_short_for_detection,SENSE OF CONGRESS REGARDING ACCESSION PHYSICALS.
sec531_expansion_of_pre_referral_matters_reviewable_by_military_judges_and_military_mag.txt,334,amendment_to_existing_law,EXPANSION OF PRE-REFERRAL MATTERS REVIEWABLE BY MILITARY JUDGES AND MILITARY MAGISTRATES IN THE INTEREST OF EFFICIENCY IN MILITARY JUSTICE.
sec532_command_influence.txt,731,amendment_to_existing_law,COMMAND INFLUENCE.
sec533_statute_of_limitations_for_certain_offenses.txt,136,too_short_for_detection,STATUTE OF LIMITATIONS FOR CERTAIN OFFENSES.
sec534_public_access_to_dockets_filings_and_court_records_of_courts_martial_or_other_re.txt,358,amendment_to_existing_law,"PUBLIC ACCESS TO DOCKETS, FILINGS, AND COURT RECORDS OF COURTS-MARTIAL OR OTHER RECORDS OF TRIAL OF THE MILITARY JUSTICE SYSTEM."
sec535_extension_of_defense_advisory_committee_on_investigation_prosecution_and_defense.txt,56,too_short_for_detection,"EXTENSION OF DEFENSE ADVISORY COMMITTEE ON INVESTIGATION, PROSECUTION, AND DEFENSE OF SEXUAL ASSAULT IN THE ARMED FORCES."
sec536_authority_for_return_of_personal_property_to_victims_of_sexual_assault_who_file_.txt,299,amendment_to_existing_law,AUTHORITY FOR RETURN OF PERSONAL PROPERTY TO VICTIMS OF SEXUAL ASSAULT WHO FILE A RESTRICTED REPORT BEFORE CONCLUSION OF RELATED PROCEEDINGS.
sec539_increase_in_number_of_digital_forensic_examiners_for_certain_military_criminal_i.txt,163,too_short_for_detection,INCREASE IN NUMBER OF DIGITAL FORENSIC EXAMINERS FOR CERTAIN MILITARY CRIMINAL INVESTIGATIVE ORGANIZATIONS.
sec540A_training_for_sexual_assault_initial_disposition_authorities_on_exercise_of_dispo.txt,151,too_short_for_detection,TRAINING FOR SEXUAL ASSAULT INITIAL DISPOSITION AUTHORITIES ON EXERCISE OF DISPOSITION AUTHORITY FOR SEXUAL ASSAULT AND COLLATERAL OFFENSES.
sec540C_timely_disposition_of_nonprosecutable_sex_related_offenses.txt,135,too_short_for_detection,TIMELY DISPOSITION OF NONPROSECUTABLE SEX-RELATED OFFENSES.
sec540E_recommendations_on_separate_punitive_article_in_the_uniform_code_of_military_jus.txt,90,too_short_for_detection,RECOMMENDATIONS ON SEPARATE PUNITIVE ARTICLE IN THE UNIFORM CODE OF MILITARY JUSTICE ON SEXUAL HARASSMENT.
sec540G_report_on_standardization_among_the_military_departments_in_collection_and_prese.txt,174,too_short_for_detection,REPORT ON STANDARDIZATION AMONG THE MILITARY DEPARTMENTS IN COLLECTION AND PRESENTATION OF INFORMATION ON MATTERS WITHIN THE MILITARY JUSTICE SYSTEM.
sec540H_report_on_expansion_of_air_force_safe_to_report_policy_across_the_armed_forces.txt,218,too_short_for_detection,REPORT ON EXPANSION OF AIR FORCE SAFE TO REPORT POLICY ACROSS THE ARMED FORCES.
sec540N_sense_of_congress_on_the_port_chicago_50.txt,117,too_short_for_detection,SENSE OF CONGRESS ON THE PORT CHICAGO 50.
sec544_copyright_protection_for_civilian_faculty_of_certain_accredited_institutions.txt,247,amendment_to_existing_law,COPYRIGHT PROTECTION FOR CIVILIAN FACULTY OF CERTAIN ACCREDITED INSTITUTIONS.
sec545_termination_of_leases_of_premises_and_motor_vehicles_of_servicemembers_who_incur.txt,206,too_short_for_detection,TERMINATION OF LEASES OF PREMISES AND MOTOR VEHICLES OF SERVICEMEMBERS WHO INCUR CATASTROPHIC INJURY OR ILLNESS OR DIE WHILE IN MILITARY SERVICE.
sec546_military_orders_required_for_termination_of_leases_pursuant_to_the_servicemember.txt,89,too_short_for_detection,MILITARY ORDERS REQUIRED FOR TERMINATION OF LEASES PURSUANT TO THE SERVICEMEMBERS CIVIL RELIEF ACT.
sec547_preservation_of_right_to_bring_class_action_under_servicemembers_civil_relief_ac.txt,181,too_short_for_detection,PRESERVATION OF RIGHT TO BRING CLASS ACTION UNDER SERVICEMEMBERS CIVIL RELIEF ACT.
sec549_notice_to_victims_of_alleged_sexual_assault_of_pendency_of_further_administrativ.txt,132,too_short_for_detection,NOTICE TO VICTIMS OF ALLEGED SEXUAL ASSAULT OF PENDENCY OF FURTHER ADMINISTRATIVE ACTION FOLLOWING A DETERMINATION NOT TO REFER TO TRIAL BY COURT-MARTIAL.
sec550_treatment_of_information_in_catch_a_serial_offender_program_for_certain_purposes.txt,109,too_short_for_detection,TREATMENT OF INFORMATION IN CATCH A SERIAL OFFENDER PROGRAM FOR CERTAIN PURPOSES.
sec550E_feasibility_study_on_establishment_of_database_of_military_protective_orders.txt,205,too_short_for_detection,FEASIBILITY STUDY ON ESTABLISHMENT OF DATABASE OF MILITARY PROTECTIVE ORDERS.
sec551_authority_for_detail_of_certain_enlisted_members_of_the_armed_forces_as_students.txt,443,amendment_to_existing_law,AUTHORITY FOR DETAIL OF CERTAIN ENLISTED MEMBERS OF THE ARMED FORCES AS STUDENTS AT LAW SCHOOLS.
sec552_inclusion_of_coast_guard_in_department_of_defense_starbase_program.txt,90,too_short_for_detection,INCLUSION OF COAST GUARD IN DEPARTMENT OF DEFENSE STARBASE PROGRAM.
sec2017_10_usc_2017_limitation_on_establishment_of_postsecondary_educational_institution.txt,126,too_short_for_detection,10 USC 2017 .  Limitation on establishment of postsecondary educational institutions pending notice to Congress
sec554_prohibition_on_off_duty_employment_for_cadets_and_midshipmen_completing_obligate.txt,136,too_short_for_detection,PROHIBITION ON OFF-DUTY EMPLOYMENT FOR CADETS AND MIDSHIPMEN COMPLETING OBLIGATED SERVICE AFTER GRADUATION.
sec555_consideration_of_request_for_transfer_of_a_cadet_or_midshipman_at_a_military_ser.txt,1959,amendment_to_existing_law,CONSIDERATION OF REQUEST FOR TRANSFER OF A CADET OR MIDSHIPMAN AT A MILITARY SERVICE ACADEMY WHO IS THE VICTIM OF A SEXUAL ASSAULT OR RELATED OFFENSE.
sec556_redesignation_of_the_commandant_of_the_united_states_air_force_institute_of_tech.txt,176,too_short_for_detection,REDESIGNATION OF THE COMMANDANT OF THE UNITED STATES AIR FORCE INSTITUTE OF TECHNOLOGY AS THE DIRECTOR AND CHANCELLOR OF SUCH INSTITUTE.
sec557_eligibility_of_additional_enlisted_members_for_associate_degree_programs_of_the_.txt,68,too_short_for_detection,ELIGIBILITY OF ADDITIONAL ENLISTED MEMBERS FOR ASSOCIATE DEGREE PROGRAMS OF THE COMMUNITY COLLEGE OF THE AIR FORCE.
